AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260820_083729
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260820_083729
completed_tasks: baseline=32.0 candidate=32.0
failed_tasks: baseline=0.0 candidate=0.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2968.157294432356 candidate=2030.0906944008457
p50_task_duration_seconds: baseline=3295.7175394175574 candidate=1939.4581061075442
p95_task_duration_seconds: baseline=3702.624350757245 candidate=3703.200404425268
p99_task_duration_seconds: baseline=3705.8229368274847 candidate=3707.234279632531
run_wall_time_seconds: baseline=7419.082059 candidate=4402.115543
request_throughput_per_second: baseline=0.07588539869525117 candidate=0.12130531213546568
input_token_throughput_per_second: baseline=3474.5857769194945 candidate=5476.394420935807
output_token_throughput_per_second: baseline=16.890229681175708 candidate=31.262241678057656
requests: baseline=563.0 candidate=534.0
successful_requests: baseline=536.0 candidate=518.0
failed_requests: baseline=27.0 candidate=16.0
input_tokens: baseline=25778237.0 candidate=24107721.0
output_tokens: baseline=125310.0 candidate=137620.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=8300064.0 candidate=12601552.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.11885975399964319 candidate=0.21314628506378816
vllm_prompt_token_hit_rate: baseline=0.3224804163365174 candidate=0.5176706418595909
latency_mean_seconds: baseline=162.5981916528961 candidate=114.77864395111558
latency_p50_seconds: baseline=145.1633417038247 candidate=64.17146636568941
latency_p95_seconds: baseline=418.52595574986185 candidate=390.3781345561845
latency_p99_seconds: baseline=742.2878904378309 candidate=584.6990465205625
ttft_mean_seconds: baseline=75.28016398615871 candidate=52.30026221768662
ttft_p50_seconds: baseline=85.3658672249876 candidate=31.516417660284787
ttft_p95_seconds: baseline=141.37068259846419 candidate=153.4271787472535
ttft_p99_seconds: baseline=160.20263934202492 candidate=198.69674061681144
vllm_queue_time_mean_seconds: baseline=60.1882510819766 candidate=41.98185662014867
vllm_prefill_time_mean_seconds: baseline=11.09589818699473 candidate=7.482900708233291
vllm_decode_time_mean_seconds: baseline=86.69843886804823 candidate=63.33481762402342
vllm_inference_time_mean_seconds: baseline=97.79433705504296 candidate=70.81771833225672
baseline router.applicable: False
candidate router.applicable: False
