AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260820_203350
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260820_203350
completed_tasks: baseline=31.0 candidate=30.0
failed_tasks: baseline=1.0 candidate=2.0
tasks_with_patch: baseline=32.0 candidate=31.0
mean_task_duration_seconds: baseline=2413.2631116136763 candidate=2024.6570039671205
p50_task_duration_seconds: baseline=2476.3389798144344 candidate=1976.7187073219102
p95_task_duration_seconds: baseline=3588.4224709692176 candidate=3701.8282538268018
p99_task_duration_seconds: baseline=3708.0388860215994 candidate=3703.019436346572
run_wall_time_seconds: baseline=5729.868984 candidate=6033.76236
request_throughput_per_second: baseline=0.08586583766118447 candidate=0.08253556741004961
input_token_throughput_per_second: baseline=3924.7370337429693 candidate=3636.8000081461614
output_token_throughput_per_second: baseline=19.92192148175652 candidate=19.961508726041377
requests: baseline=492.0 candidate=498.0
successful_requests: baseline=489.0 candidate=491.0
failed_requests: baseline=3.0 candidate=7.0
input_tokens: baseline=22488229.0 candidate=21943587.0
output_tokens: baseline=114150.0 candidate=120443.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=7698464.0 candidate=10683760.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.161260917575763 candidate=0.22267962763020577
vllm_prompt_token_hit_rate: baseline=0.3410422981919115 candidate=0.48773659237844114
latency_mean_seconds: baseline=149.02031067192243 candidate=123.10046421564427
latency_p50_seconds: baseline=124.46954558929428 candidate=88.08505056938156
latency_p95_seconds: baseline=408.55207084496504 candidate=382.73186643579976
latency_p99_seconds: baseline=573.804987473189 candidate=584.765834423745
ttft_mean_seconds: baseline=61.56858483125282 candidate=48.822276173664605
ttft_p50_seconds: baseline=61.75741259707138 candidate=38.16079596988857
ttft_p95_seconds: baseline=133.38441657947843 candidate=132.49797079926356
ttft_p99_seconds: baseline=146.4404522542329 candidate=159.3180412258394
vllm_queue_time_mean_seconds: baseline=50.55898970404567 candidate=39.610094778142994
vllm_prefill_time_mean_seconds: baseline=10.171073287537851 candidate=7.827198810834635
vllm_decode_time_mean_seconds: baseline=83.69040438858411 candidate=70.81577434223297
vllm_inference_time_mean_seconds: baseline=93.86147767612196 candidate=78.6429731530676
baseline router.applicable: False
candidate router.applicable: False
