AgentCache Benchmark Comparison
completed_tasks: baseline=28.0 candidate=30.0
failed_tasks: baseline=4.0 candidate=2.0
tasks_with_patch: baseline=26.0 candidate=31.0
mean_task_duration_seconds: baseline=4852.364985183027 candidate=4180.862275426669
p50_task_duration_seconds: baseline=5120.557503952878 candidate=4193.642793177394
p95_task_duration_seconds: baseline=8097.192712004226 candidate=6111.2911790716225
p99_task_duration_seconds: baseline=9311.73626170607 candidate=6763.862786708368
run_wall_time_seconds: baseline=10341.312586 candidate=8914.552291
request_throughput_per_second: baseline=0.20954786754378454 candidate=0.23814992954198602
input_token_throughput_per_second: baseline=6378.26411797045 candidate=7377.839385877018
output_token_throughput_per_second: baseline=39.7641011796411 candidate=45.678906433821716
requests: baseline=2167.0 candidate=2123.0
successful_requests: baseline=2155.0 candidate=2114.0
failed_requests: baseline=12.0 candidate=9.0
input_tokens: baseline=65959623.0 candidate=65770135.0
output_tokens: baseline=411213.0 candidate=407207.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.26942280233949345 candidate=0.28455758440085654
vllm_prompt_token_hit_rate: baseline=0.47036420249613525 candidate=0.5668960528559972
latency_mean_seconds: baseline=70.95903511452723 candidate=62.67185574688796
latency_p50_seconds: baseline=41.317798553965986 candidate=39.94308066321537
latency_p95_seconds: baseline=226.7872697104231 candidate=183.58769895392467
latency_p99_seconds: baseline=364.6889890726749 candidate=326.80228789612767
ttft_mean_seconds: baseline=21.61735026760045 candidate=18.98097019834169
ttft_p50_seconds: baseline=7.880915809189901 candidate=7.56560437195003
ttft_p95_seconds: baseline=81.6120536577655 candidate=68.38685927633196
ttft_p99_seconds: baseline=110.05806377660483 candidate=96.28271509977058
vllm_queue_time_mean_seconds: baseline=16.0751852802848 candidate=14.09986629243808
vllm_prefill_time_mean_seconds: baseline=4.866339094108813 candidate=4.171196320866453
vllm_decode_time_mean_seconds: baseline=48.630674232214716 candidate=42.711589349928296
vllm_inference_time_mean_seconds: baseline=53.497013326323525 candidate=46.882785670794746
baseline router.applicable: False
candidate router.applicable: False
