AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260816_203245
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260816_203245
completed_tasks: baseline=11.0 candidate=24.0
failed_tasks: baseline=21.0 candidate=8.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1500.852832069213 candidate=781.6647385638207
p50_task_duration_seconds: baseline=1431.9429410549346 candidate=741.500827386044
p95_task_duration_seconds: baseline=2311.1903236268786 candidate=1313.8349746625638
p99_task_duration_seconds: baseline=2676.7829741461487 candidate=1408.954931521239
run_wall_time_seconds: baseline=3187.588443 candidate=1748.524481
request_throughput_per_second: baseline=0.12360441350740585 candidate=0.32427341233205187
input_token_throughput_per_second: baseline=4146.099860859609 candidate=13770.2498658925
output_token_throughput_per_second: baseline=16.35562461474265 candidate=70.74078821547823
requests: baseline=394.0 candidate=567.0
successful_requests: baseline=323.0 candidate=538.0
failed_requests: baseline=71.0 candidate=29.0
input_tokens: baseline=13216060.0 candidate=24077619.0
output_tokens: baseline=52135.0 candidate=123692.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=6813504.0 candidate=21548832.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.3764841811449872 candidate=0.8900796939583009
vllm_prompt_token_hit_rate: baseline=0.4347328708587 candidate=0.8948944939973752
latency_mean_seconds: baseline=112.71857640257478 candidate=37.53247607936278
latency_p50_seconds: baseline=96.91388376266696 candidate=17.34673666395247
latency_p95_seconds: baseline=280.3366767987143 candidate=140.1007895587939
latency_p99_seconds: baseline=347.74863720172544 candidate=299.9910494676698
ttft_mean_seconds: baseline=59.89902779354615 candidate=14.910356444585684
ttft_p50_seconds: baseline=53.11051653185859 candidate=1.1115354862995446
ttft_p95_seconds: baseline=143.18664329638705 candidate=96.44284155729684
ttft_p99_seconds: baseline=161.07577979145572 candidate=218.527572203558
vllm_queue_time_mean_seconds: baseline=40.22442188107152 candidate=11.826783576914453
vllm_prefill_time_mean_seconds: baseline=6.733902819226885 candidate=1.738395158501799
vllm_decode_time_mean_seconds: baseline=37.982986629169275 candidate=17.54863104303575
vllm_inference_time_mean_seconds: baseline=44.71688944839616 candidate=19.28702620153755
baseline router.applicable: False
candidate router.applicable: False
