AgentCache Benchmark Comparison
completed_tasks: baseline=28.0 candidate=28.0
failed_tasks: baseline=4.0 candidate=4.0
tasks_with_patch: baseline=30.0 candidate=28.0
mean_task_duration_seconds: baseline=5368.152214285219 candidate=2950.3341956217046
p50_task_duration_seconds: baseline=5151.020518435398 candidate=2910.9134139481466
p95_task_duration_seconds: baseline=9904.015859247767 candidate=4162.628761345661
p99_task_duration_seconds: baseline=10189.483591218284 candidate=4673.187064393866
run_wall_time_seconds: baseline=11447.982737 candidate=6686.026242
request_throughput_per_second: baseline=0.18230286050788616 candidate=0.317079222136861
input_token_throughput_per_second: baseline=5780.707266976725 candidate=9958.145629426024
output_token_throughput_per_second: baseline=35.92519393576371 candidate=61.242954361709785
requests: baseline=2087.0 candidate=2120.0
successful_requests: baseline=2075.0 candidate=2092.0
failed_requests: baseline=12.0 candidate=28.0
input_tokens: baseline=66177437.0 candidate=66580423.0
output_tokens: baseline=411271.0 candidate=409472.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.22828957893399138 candidate=0.7081005255684979
vllm_prompt_token_hit_rate: baseline=0.4282536732300808 candidate=0.7081005255684979
latency_mean_seconds: baseline=82.04506791809442 candidate=46.21078650542878
latency_p50_seconds: baseline=52.87925815023482 candidate=25.3755147785414
latency_p95_seconds: baseline=254.327585423598 candidate=167.431565811811
latency_p99_seconds: baseline=401.27528809186924 candidate=282.69273819525256
ttft_mean_seconds: baseline=26.16711052457666 candidate=12.745546389222632
ttft_p50_seconds: baseline=11.131987411528826 candidate=2.6059690890833735
ttft_p95_seconds: baseline=85.19177724488543 candidate=54.70831560315554
ttft_p99_seconds: baseline=106.89485509622382 candidate=170.8694111864641
vllm_queue_time_mean_seconds: baseline=19.84993143312229 candidate=13.206041813643967
vllm_prefill_time_mean_seconds: baseline=5.609700826735471 candidate=2.802611462448022
vllm_decode_time_mean_seconds: baseline=55.26267007290419 candidate=27.311416078186827
vllm_inference_time_mean_seconds: baseline=60.87237089963966 candidate=30.114027540634847
baseline router.applicable: False
candidate router.applicable: False
