AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260821_105812
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260821_105812
completed_tasks: baseline=32.0 candidate=31.0
failed_tasks: baseline=0.0 candidate=1.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2568.307718609547 candidate=1999.7703852457198
p50_task_duration_seconds: baseline=2321.7417211625725 candidate=1997.3605618141592
p95_task_duration_seconds: baseline=3702.6701009325916 candidate=3700.8801739200253
p99_task_duration_seconds: baseline=3703.41847971268 candidate=3704.4543308288185
run_wall_time_seconds: baseline=5345.832283 candidate=4191.238073
request_throughput_per_second: baseline=0.09577554492837051 candidate=0.1402926748036343
input_token_throughput_per_second: baseline=4431.770535589023 candidate=6785.98340266604
output_token_throughput_per_second: baseline=20.56461822597737 candidate=32.46391582394847
requests: baseline=512.0 candidate=588.0
successful_requests: baseline=497.0 candidate=580.0
failed_requests: baseline=15.0 candidate=8.0
input_tokens: baseline=23691502.0 candidate=28441672.0
output_tokens: baseline=109935.0 candidate=136064.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=8184224.0 candidate=17899216.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.13891306458442645 candidate=0.3028968708786146
vllm_prompt_token_hit_rate: baseline=0.3442333290636092 candidate=0.6292577022874712
latency_mean_seconds: baseline=153.34065831244607 candidate=102.33725698360362
latency_p50_seconds: baseline=131.20300513901748 candidate=42.67573311808519
latency_p95_seconds: baseline=425.8108488659838 candidate=371.47909157031665
latency_p99_seconds: baseline=629.3820535522185 candidate=550.1725158668961
ttft_mean_seconds: baseline=70.31979707665872 candidate=52.18428624856354
ttft_p50_seconds: baseline=63.31255949055776 candidate=6.481669697910547
ttft_p95_seconds: baseline=163.30532480799593 candidate=222.2077146790223
ttft_p99_seconds: baseline=178.5279055670835 candidate=323.0361393246194
vllm_queue_time_mean_seconds: baseline=60.77089650949681 candidate=42.72482613706399
vllm_prefill_time_mean_seconds: baseline=10.661030138003259 candidate=6.550689104912353
vllm_decode_time_mean_seconds: baseline=82.33231940293044 candidate=52.97533310579923
vllm_inference_time_mean_seconds: baseline=92.99334954093369 candidate=59.52602221071158
baseline router.applicable: False
candidate router.applicable: False
