AgentCache Benchmark Comparison
completed_tasks: baseline=30.0 candidate=28.0
failed_tasks: baseline=2.0 candidate=4.0
tasks_with_patch: baseline=25.0 candidate=30.0
mean_task_duration_seconds: baseline=5073.031178061501 candidate=4298.732727532071
p50_task_duration_seconds: baseline=4960.123389406595 candidate=4161.301311907591
p95_task_duration_seconds: baseline=9038.246776166092 candidate=7293.526430734922
p99_task_duration_seconds: baseline=9800.061011335716 candidate=7885.899105198365
run_wall_time_seconds: baseline=10739.110882 candidate=9353.022347
request_throughput_per_second: baseline=0.19424326863934133 candidate=0.2372495133310302
input_token_throughput_per_second: baseline=5857.086651878002 candidate=7582.741959634922
output_token_throughput_per_second: baseline=36.22078254653037 candidate=45.56559197537861
requests: baseline=2086.0 candidate=2219.0
successful_requests: baseline=2077.0 candidate=2210.0
failed_requests: baseline=9.0 candidate=9.0
input_tokens: baseline=62899903.0 candidate=70921555.0
output_tokens: baseline=388979.0 candidate=426176.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.20174051089701464 candidate=0.3531625854790908
vllm_prompt_token_hit_rate: baseline=0.41949028802637456 candidate=0.5811217944734001
latency_mean_seconds: baseline=77.27921798672595 candidate=61.613604756340564
latency_p50_seconds: baseline=49.647467609494925 candidate=39.12414318183437
latency_p95_seconds: baseline=250.78220456675626 candidate=188.6422529848292
latency_p99_seconds: baseline=410.9722049832578 candidate=360.10369794477793
ttft_mean_seconds: baseline=24.098982868344933 candidate=20.650831621134994
ttft_p50_seconds: baseline=9.573043526150286 candidate=6.889083569869399
ttft_p95_seconds: baseline=78.86775283701718 candidate=89.98013222119778
ttft_p99_seconds: baseline=96.3799337445944 candidate=131.25646303232756
vllm_queue_time_mean_seconds: baseline=18.063065614402213 candidate=15.814180924060937
vllm_prefill_time_mean_seconds: baseline=5.3175993770386505 candidate=4.154347467088726
vllm_decode_time_mean_seconds: baseline=52.67180208770915 candidate=40.51041972114477
vllm_inference_time_mean_seconds: baseline=57.9894014647478 candidate=44.6647671882335
baseline router.applicable: False
candidate router.applicable: False
