AgentCache Benchmark Comparison
completed_tasks: baseline=27.0 candidate=30.0
failed_tasks: baseline=5.0 candidate=2.0
tasks_with_patch: baseline=25.0 candidate=32.0
mean_task_duration_seconds: baseline=5432.387002552488 candidate=3353.559853505649
p50_task_duration_seconds: baseline=4731.7460253229365 candidate=3332.547711907071
p95_task_duration_seconds: baseline=9783.106884650233 candidate=5270.17124906471
p99_task_duration_seconds: baseline=10697.982000061282 candidate=5971.458312519087
run_wall_time_seconds: baseline=11592.000027 candidate=7439.122966
request_throughput_per_second: baseline=0.18452380909401805 candidate=0.3032615552009145
input_token_throughput_per_second: baseline=5576.20400702575 candidate=9421.659155297797
output_token_throughput_per_second: baseline=35.049689359356314 candidate=63.196696996230294
requests: baseline=2139.0 candidate=2256.0
successful_requests: baseline=2123.0 candidate=2230.0
failed_requests: baseline=16.0 candidate=26.0
input_tokens: baseline=64639357.0 candidate=70088881.0
output_tokens: baseline=406296.0 candidate=470128.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.15829284162605348 candidate=0.6961218845976088
vllm_prompt_token_hit_rate: baseline=0.3811830432710498 candidate=0.6967610651260776
latency_mean_seconds: baseline=80.62781663804729 candidate=52.727605024982424
latency_p50_seconds: baseline=54.21168431895785 candidate=26.893626707489602
latency_p95_seconds: baseline=267.1467553116378 candidate=172.3429845412029
latency_p99_seconds: baseline=418.7684638547757 candidate=368.1133268673667
ttft_mean_seconds: baseline=25.574440615509356 candidate=12.600766280734115
ttft_p50_seconds: baseline=12.150638648075983 candidate=3.0953851704252884
ttft_p95_seconds: baseline=75.90035111398902 candidate=50.933324754226454
ttft_p99_seconds: baseline=96.0602796306461 candidate=170.77379069335086
vllm_queue_time_mean_seconds: baseline=19.192031790426917 candidate=16.634361595366016
vllm_prefill_time_mean_seconds: baseline=5.575027686417203 candidate=2.9238879239373534
vllm_decode_time_mean_seconds: baseline=53.8047024099321 candidate=30.475896952427284
vllm_inference_time_mean_seconds: baseline=59.3797300963493 candidate=33.39978487636464
baseline router.applicable: False
candidate router.applicable: False
