AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260811_084804
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260811_084804
completed_tasks: baseline=13.0 candidate=27.0
failed_tasks: baseline=19.0 candidate=5.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1409.069218121309 candidate=725.0337456803536
p50_task_duration_seconds: baseline=1338.9383058125386 candidate=675.434399679536
p95_task_duration_seconds: baseline=2138.991507781925 candidate=1246.3304019426112
p99_task_duration_seconds: baseline=2534.8419782857973 candidate=1301.0349022553955
run_wall_time_seconds: baseline=3094.036398 candidate=1762.498527
request_throughput_per_second: baseline=0.1257257349174856 candidate=0.29560308392813767
input_token_throughput_per_second: baseline=4716.355958007705 candidate=13306.650553586534
output_token_throughput_per_second: baseline=19.470682387234152 candidate=71.4916909544742
requests: baseline=389.0 candidate=521.0
successful_requests: baseline=324.0 candidate=497.0
failed_requests: baseline=65.0 candidate=24.0
input_tokens: baseline=14592577.0 candidate=23452952.0
output_tokens: baseline=60243.0 candidate=126004.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=8587152.0 candidate=20930080.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.4771131560020118 candidate=0.8945167474747832
vllm_prompt_token_hit_rate: baseline=0.5133986285835792 candidate=0.8948802539209119
latency_mean_seconds: baseline=106.17892060851425 candidate=37.29557207460612
latency_p50_seconds: baseline=90.30043950700201 candidate=17.769161902135238
latency_p95_seconds: baseline=247.61350216362618 candidate=141.17098811990581
latency_p99_seconds: baseline=325.02693344063124 candidate=299.9902372467797
ttft_mean_seconds: baseline=53.68306537705008 candidate=14.28482125278658
ttft_p50_seconds: baseline=35.62609037861694 candidate=1.202886421000585
ttft_p95_seconds: baseline=133.96157290242846 candidate=80.00785593716424
ttft_p99_seconds: baseline=147.53832687010754 candidate=202.08794583734078
vllm_queue_time_mean_seconds: baseline=39.16213481095519 candidate=11.426351860880484
vllm_prefill_time_mean_seconds: baseline=6.229220239186148 candidate=1.8880105366025277
vllm_decode_time_mean_seconds: baseline=39.21176841388382 candidate=17.079118727942483
vllm_inference_time_mean_seconds: baseline=45.440988653069965 candidate=18.96712926454501
baseline router.applicable: False
candidate router.applicable: False
