AgentCache Benchmark Comparison
completed_tasks: baseline=30.0 candidate=30.0
failed_tasks: baseline=2.0 candidate=2.0
tasks_with_patch: baseline=30.0 candidate=31.0
mean_task_duration_seconds: baseline=4379.37970163842 candidate=3497.8392612570315
p50_task_duration_seconds: baseline=4056.7534966340754 candidate=3317.842074841028
p95_task_duration_seconds: baseline=7998.621948127448 candidate=5742.888673858693
p99_task_duration_seconds: baseline=8288.607647593188 candidate=6605.330847141528
run_wall_time_seconds: baseline=9458.959218 candidate=7602.742581
request_throughput_per_second: baseline=0.19981056651596613 candidate=0.30502150708027503
input_token_throughput_per_second: baseline=6170.394929807171 candidate=9611.286482671982
output_token_throughput_per_second: baseline=38.876053012283954 candidate=58.36130781395451
requests: baseline=1890.0 candidate=2319.0
successful_requests: baseline=1882.0 candidate=2290.0
failed_requests: baseline=8.0 candidate=29.0
input_tokens: baseline=58365514.0 candidate=73072137.0
output_tokens: baseline=367727.0 candidate=443706.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.32145489868441846 candidate=0.6920713726711397
vllm_prompt_token_hit_rate: baseline=0.47906515904534736 candidate=0.6933018620203719
latency_mean_seconds: baseline=73.43144657836694 candidate=50.92139945463079
latency_p50_seconds: baseline=49.92124758393038 candidate=28.180064172949642
latency_p95_seconds: baseline=224.84609890299603 candidate=161.75557918245897
latency_p99_seconds: baseline=385.31214595737623 candidate=333.71979648507744
ttft_mean_seconds: baseline=18.9974667087112 candidate=13.34807823135586
ttft_p50_seconds: baseline=11.246748944977298 candidate=3.4096445608884096
ttft_p95_seconds: baseline=58.85562813133001 candidate=53.380735060200074
ttft_p99_seconds: baseline=77.09089519440191 candidate=167.7958855439349
vllm_queue_time_mean_seconds: baseline=13.087298004492235 candidate=15.653350667631168
vllm_prefill_time_mean_seconds: baseline=5.124910726861466 candidate=3.035461907040869
vllm_decode_time_mean_seconds: baseline=53.93607910901311 candidate=29.355063699263425
vllm_inference_time_mean_seconds: baseline=59.06098983587458 candidate=32.390525606304294
baseline router.applicable: False
candidate router.applicable: False
