AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260810_091928
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260810_091928
completed_tasks: baseline=13.0 candidate=29.0
failed_tasks: baseline=19.0 candidate=3.0
tasks_with_patch: baseline=31.0 candidate=32.0
mean_task_duration_seconds: baseline=1109.6871818695581 candidate=814.7297786092022
p50_task_duration_seconds: baseline=1120.7277652045013 candidate=822.8312726969598
p95_task_duration_seconds: baseline=1826.3362390864406 candidate=1399.1456015773
p99_task_duration_seconds: baseline=2060.4202599818987 candidate=1559.572104014687
run_wall_time_seconds: baseline=2488.645444 candidate=1944.68464
request_throughput_per_second: baseline=0.15952453209321044 candidate=0.29670620527963854
input_token_throughput_per_second: baseline=5822.719357205468 candidate=13849.009986524088
output_token_throughput_per_second: baseline=27.814729561773603 candidate=75.68579345595079
requests: baseline=397.0 candidate=577.0
successful_requests: baseline=338.0 candidate=554.0
failed_requests: baseline=59.0 candidate=23.0
input_tokens: baseline=14490684.0 candidate=26931957.0
output_tokens: baseline=69221.0 candidate=147185.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=9561072.0 candidate=24122560.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.5877136848594394 candidate=0.8900895594894658
vllm_prompt_token_hit_rate: baseline=0.6048655675616208 candidate=0.8975104403978289
latency_mean_seconds: baseline=79.75846964897183 candidate=38.560545219306185
latency_p50_seconds: baseline=60.183521586004645 candidate=18.56356478203088
latency_p95_seconds: baseline=212.1343321198132 candidate=156.60762047898024
latency_p99_seconds: baseline=274.4234485191759 candidate=299.9916392061394
ttft_mean_seconds: baseline=31.508268636065612 candidate=14.822838644877962
ttft_p50_seconds: baseline=17.43638069392182 candidate=1.2003768334398046
ttft_p95_seconds: baseline=100.08886338840239 candidate=122.22493267426034
ttft_p99_seconds: baseline=118.54747292248067 candidate=245.69338745701808
vllm_queue_time_mean_seconds: baseline=19.146528990817334 candidate=11.471952323930418
vllm_prefill_time_mean_seconds: baseline=5.030988975607145 candidate=1.8589516917721869
vllm_decode_time_mean_seconds: baseline=38.47753638835877 candidate=19.810247836995952
vllm_inference_time_mean_seconds: baseline=43.508525363965916 candidate=21.669199528768136
baseline router.applicable: False
candidate router.applicable: False
