AgentCache Benchmark Comparison
completed_tasks: baseline=28.0 candidate=30.0
failed_tasks: baseline=4.0 candidate=2.0
tasks_with_patch: baseline=26.0 candidate=32.0
mean_task_duration_seconds: baseline=4856.014256060334 candidate=3221.956308855806
p50_task_duration_seconds: baseline=4695.423165627639 candidate=3183.2797669684514
p95_task_duration_seconds: baseline=8138.919944181352 candidate=5369.14858401973
p99_task_duration_seconds: baseline=8611.104261327666 candidate=5691.539670448683
run_wall_time_seconds: baseline=10777.76111 candidate=7105.023032
request_throughput_per_second: baseline=0.20069103201713107 candidate=0.31512916846516426
input_token_throughput_per_second: baseline=6373.0941239984495 candidate=9773.605896454468
output_token_throughput_per_second: baseline=38.20654362230525 candidate=64.29071347730995
requests: baseline=2163.0 candidate=2239.0
successful_requests: baseline=2150.0 candidate=2214.0
failed_requests: baseline=13.0 candidate=25.0
input_tokens: baseline=68687686.0 candidate=69441695.0
output_tokens: baseline=411781.0 candidate=456787.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.3525637613248693 candidate=0.6884596328405036
vllm_prompt_token_hit_rate: baseline=0.49226088022577863 candidate=0.6889988500424709
latency_mean_seconds: baseline=71.22200834683002 candidate=47.588359444069916
latency_p50_seconds: baseline=43.63908817898482 candidate=26.69430955988355
latency_p95_seconds: baseline=220.97741787973794 candidate=159.90095074386323
latency_p99_seconds: baseline=414.3500154675964 candidate=294.4679195766242
ttft_mean_seconds: baseline=20.819603969215812 candidate=11.682905302157783
ttft_p50_seconds: baseline=9.264472569921054 candidate=3.3064270990435034
ttft_p95_seconds: baseline=76.18565081524427 candidate=48.885689110821154
ttft_p99_seconds: baseline=95.41870532372035 candidate=148.49985773196462
vllm_queue_time_mean_seconds: baseline=14.920515659513754 candidate=12.975873720473984
vllm_prefill_time_mean_seconds: baseline=5.0226546666227545 candidate=2.8677874017836418
vllm_decode_time_mean_seconds: baseline=49.47580194612944 candidate=28.986117569040765
vllm_inference_time_mean_seconds: baseline=54.498456612752186 candidate=31.853904970824406
baseline router.applicable: False
candidate router.applicable: False
