AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260812_092139
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260812_092139
completed_tasks: baseline=11.0 candidate=26.0
failed_tasks: baseline=21.0 candidate=6.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1388.3706414689077 candidate=871.0687678263203
p50_task_duration_seconds: baseline=1395.417548845522 candidate=809.9199685165659
p95_task_duration_seconds: baseline=2076.198886296572 candidate=1710.192865766864
p99_task_duration_seconds: baseline=2337.2791392539443 candidate=1816.9209768409003
run_wall_time_seconds: baseline=3078.787584 candidate=1917.989761
request_throughput_per_second: baseline=0.1331693040892814 candidate=0.3076137380902316
input_token_throughput_per_second: baseline=4868.066922800738 candidate=13889.723262187947
output_token_throughput_per_second: baseline=19.378732170436088 candidate=64.44351399225222
requests: baseline=410.0 candidate=590.0
successful_requests: baseline=344.0 candidate=550.0
failed_requests: baseline=66.0 candidate=40.0
input_tokens: baseline=14987744.0 candidate=26640347.0
output_tokens: baseline=59663.0 candidate=123602.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=8936480.0 candidate=23572832.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.5471279715346274 candidate=0.8812973549021068
vllm_prompt_token_hit_rate: baseline=0.5343191127124645 candidate=0.8853563008350851
latency_mean_seconds: baseline=99.19149740470074 candidate=40.108474220721824
latency_p50_seconds: baseline=75.23427400249057 candidate=19.669901498011313
latency_p95_seconds: baseline=263.3590907751349 candidate=139.7257351138512
latency_p99_seconds: baseline=305.5736612964584 candidate=299.9914676868077
ttft_mean_seconds: baseline=50.36604639071384 candidate=14.35225067901284
ttft_p50_seconds: baseline=28.706575292511843 candidate=1.334782793186605
ttft_p95_seconds: baseline=153.74096153806894 candidate=81.38306835647667
ttft_p99_seconds: baseline=176.5632283770502 candidate=189.09221989897077
vllm_queue_time_mean_seconds: baseline=33.89900084002942 candidate=10.609916720830581
vllm_prefill_time_mean_seconds: baseline=6.036292011377153 candidate=2.1025606050371954
vllm_decode_time_mean_seconds: baseline=37.775483015834 candidate=18.450737806202167
vllm_inference_time_mean_seconds: baseline=43.81177502721115 candidate=20.55329841123936
baseline router.applicable: False
candidate router.applicable: False
