AgentCache Benchmark Comparison
completed_tasks: baseline=32.0 candidate=30.0
failed_tasks: baseline=0.0 candidate=2.0
tasks_with_patch: baseline=28.0 candidate=32.0
mean_task_duration_seconds: baseline=4645.544323617316 candidate=3360.2208109092608
p50_task_duration_seconds: baseline=4299.826170896646 candidate=3227.231854953803
p95_task_duration_seconds: baseline=8468.628465009364 candidate=5976.425277176848
p99_task_duration_seconds: baseline=8760.810046227765 candidate=7226.840333335224
run_wall_time_seconds: baseline=9946.224359 candidate=10527.440446
request_throughput_per_second: baseline=0.21405107336770865 candidate=0.25723251666827807
input_token_throughput_per_second: baseline=6387.09551554768 candidate=14012.001659534251
output_token_throughput_per_second: baseline=40.9412642729629 candidate=56.23028722284733
requests: baseline=2129.0 candidate=2708.0
successful_requests: baseline=2115.0 candidate=2674.0
failed_requests: baseline=14.0 candidate=34.0
input_tokens: baseline=63527485.0 candidate=147510513.0
output_tokens: baseline=407211.0 candidate=591961.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.30694241752418994 candidate=0.8614204083156376
vllm_prompt_token_hit_rate: baseline=0.46987873544708214 candidate=0.8627740864549126
latency_mean_seconds: baseline=69.18080601626885 candidate=51.893305601564506
latency_p50_seconds: baseline=42.305687909945846 candidate=20.445319965016097
latency_p95_seconds: baseline=219.19512591920787 candidate=148.53527172775944
latency_p99_seconds: baseline=386.176273587197 candidate=488.657289921789
ttft_mean_seconds: baseline=19.745086393967405 candidate=10.10916097233057
ttft_p50_seconds: baseline=7.932889355579391 candidate=1.854465290904045
ttft_p95_seconds: baseline=65.86028726072982 candidate=48.35151811656542
ttft_p99_seconds: baseline=86.92570220318157 candidate=122.90490620091656
vllm_queue_time_mean_seconds: baseline=14.227121708404502 candidate=20.882822337919613
vllm_prefill_time_mean_seconds: baseline=4.754010390814385 candidate=2.4209354848781337
vllm_decode_time_mean_seconds: baseline=47.8367997817715 candidate=25.34736486986644
vllm_inference_time_mean_seconds: baseline=52.59081017258588 candidate=27.76830035474457
baseline router.applicable: False
candidate router.applicable: False
