AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260814_110502
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260814_110502
completed_tasks: baseline=12.0 candidate=26.0
failed_tasks: baseline=20.0 candidate=6.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1154.9417927213508 candidate=878.509389431274
p50_task_duration_seconds: baseline=1087.2206778321415 candidate=811.6829965992365
p95_task_duration_seconds: baseline=2221.7068250399084 candidate=1514.8567180242155
p99_task_duration_seconds: baseline=2293.606420369628 candidate=1659.1237907842687
run_wall_time_seconds: baseline=2433.003537 candidate=2033.053903
request_throughput_per_second: baseline=0.14714323039638064 candidate=0.30495994183190134
input_token_throughput_per_second: baseline=4737.803223341553 candidate=13420.62006311694
output_token_throughput_per_second: baseline=18.60211023606087 candidate=69.00013806471121
requests: baseline=358.0 candidate=620.0
successful_requests: baseline=294.0 candidate=586.0
failed_requests: baseline=64.0 candidate=34.0
input_tokens: baseline=11527092.0 candidate=27284844.0
output_tokens: baseline=45259.0 candidate=140281.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=6657312.0 candidate=24134096.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.5316936832706649 candidate=0.8805104385604431
vllm_prompt_token_hit_rate: baseline=0.5054732137634234 candidate=0.8834551550682445
latency_mean_seconds: baseline=93.26699259702387 candidate=38.64467327037015
latency_p50_seconds: baseline=72.39619295415469 candidate=18.704149786382914
latency_p95_seconds: baseline=226.28464005757124 candidate=127.22667137058443
latency_p99_seconds: baseline=306.7086822582549 candidate=299.99012443411164
ttft_mean_seconds: baseline=42.42480445539436 candidate=15.725323685857765
ttft_p50_seconds: baseline=24.135826955083758 candidate=1.3205067259259522
ttft_p95_seconds: baseline=111.48515077289196 candidate=100.975371587323
ttft_p99_seconds: baseline=128.24616299765182 candidate=165.8416702528903
vllm_queue_time_mean_seconds: baseline=29.262020744988376 candidate=11.321410886306037
vllm_prefill_time_mean_seconds: baseline=5.524133058651318 candidate=2.0095410587189804
vllm_decode_time_mean_seconds: baseline=37.58688690237143 candidate=19.154733168862364
vllm_inference_time_mean_seconds: baseline=43.111019961022755 candidate=21.164274227581345
baseline router.applicable: False
candidate router.applicable: False
