AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260819_090146
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260819_090146
completed_tasks: baseline=31.0 candidate=32.0
failed_tasks: baseline=1.0 candidate=0.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2122.1302150385745 candidate=2037.0020305533399
p50_task_duration_seconds: baseline=2602.173397512175 candidate=1887.1731091809925
p95_task_duration_seconds: baseline=3701.81048131336 candidate=3700.2865614532957
p99_task_duration_seconds: baseline=3705.053810285367 candidate=3704.6494000147795
run_wall_time_seconds: baseline=6528.926286 candidate=5288.272931
request_throughput_per_second: baseline=0.08347467502713968 candidate=0.1074074669388504
input_token_throughput_per_second: baseline=3730.8114585749513 candidate=5067.905221550676
output_token_throughput_per_second: baseline=18.560785447961177 candidate=27.591805851141686
requests: baseline=545.0 candidate=568.0
successful_requests: baseline=525.0 candidate=557.0
failed_requests: baseline=20.0 candidate=11.0
input_tokens: baseline=24358193.0 candidate=26800466.0
output_tokens: baseline=121182.0 candidate=145913.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=12660880.0 candidate=15940848.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.1639701203590289 candidate=0.30122300422082443
vllm_prompt_token_hit_rate: baseline=0.5156437778672534 candidate=0.5932856155744641
latency_mean_seconds: baseline=118.66521933045101 candidate=108.81758336807539
latency_p50_seconds: baseline=53.31533825304359 candidate=63.39953461824916
latency_p95_seconds: baseline=381.3968628657979 candidate=326.99586646773383
latency_p99_seconds: baseline=553.6071167606859 candidate=597.9562709725428
ttft_mean_seconds: baseline=57.06809073537609 candidate=45.48946617394686
ttft_p50_seconds: baseline=20.676450300961733 candidate=14.862992779584602
ttft_p95_seconds: baseline=146.02913216641173 candidate=154.13500897865723
ttft_p99_seconds: baseline=167.88229875965044 candidate=181.56324906680732
vllm_queue_time_mean_seconds: baseline=45.991991172155274 candidate=38.47093471806727
vllm_prefill_time_mean_seconds: baseline=7.560431213381567 candidate=6.663096006644499
vllm_decode_time_mean_seconds: baseline=61.10652975559856 candidate=59.69656782470312
vllm_inference_time_mean_seconds: baseline=68.66696096898012 candidate=66.35966383134762
baseline router.applicable: False
candidate router.applicable: False
