AgentCache Benchmark Comparison
completed_tasks: baseline=32.0 candidate=31.0
failed_tasks: baseline=0.0 candidate=1.0
tasks_with_patch: baseline=27.0 candidate=26.0
mean_task_duration_seconds: baseline=4685.8920986864105 candidate=3997.40939421214
p50_task_duration_seconds: baseline=4486.587192842271 candidate=3947.0610872714315
p95_task_duration_seconds: baseline=7771.274833625997 candidate=6700.508679408486
p99_task_duration_seconds: baseline=8096.82330160298 candidate=7095.02097560342
run_wall_time_seconds: baseline=10089.55884 candidate=8722.683923
request_throughput_per_second: baseline=0.20912708211135225 candidate=0.21312247656918795
input_token_throughput_per_second: baseline=6288.0958430487735 candidate=6582.560540638313
output_token_throughput_per_second: baseline=40.87344219303844 candidate=40.08525392947452
requests: baseline=2110.0 candidate=1859.0
successful_requests: baseline=2099.0 candidate=1851.0
failed_requests: baseline=11.0 candidate=8.0
input_tokens: baseline=63444113.0 candidate=57417595.0
output_tokens: baseline=412395.0 candidate=349651.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.23058466290895244 candidate=0.25578889368526103
vllm_prompt_token_hit_rate: baseline=0.4750361091383618 candidate=0.5281766901627198
latency_mean_seconds: baseline=70.41225170050483 candidate=68.46744207426106
latency_p50_seconds: baseline=39.75504751713015 candidate=40.498652735725045
latency_p95_seconds: baseline=218.62791585193477 candidate=199.37327341465274
latency_p99_seconds: baseline=376.2825595228138 candidate=405.3946183325634
ttft_mean_seconds: baseline=20.769495575591897 candidate=25.306458350835644
ttft_p50_seconds: baseline=7.133361549582332 candidate=8.240744469920173
ttft_p95_seconds: baseline=78.11706881828138 candidate=107.7517726209713
ttft_p99_seconds: baseline=93.20525257298257 candidate=141.45706785100978
vllm_queue_time_mean_seconds: baseline=15.183946711058264 candidate=19.854037801091327
vllm_prefill_time_mean_seconds: baseline=4.810165730059873 candidate=4.634824018049452
vllm_decode_time_mean_seconds: baseline=48.20938868358001 candidate=42.089552099748076
vllm_inference_time_mean_seconds: baseline=53.01955441363988 candidate=46.724376117797526
baseline router.applicable: False
candidate router.applicable: False
