AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260826_223448
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260826_223448
completed_tasks: baseline=32.0 candidate=31.0
failed_tasks: baseline=0.0 candidate=1.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2638.8565230624517 candidate=778.7395293103764
p50_task_duration_seconds: baseline=2515.9504378619604 candidate=742.0866203969344
p95_task_duration_seconds: baseline=3702.5184002043447 candidate=1324.2721220159206
p99_task_duration_seconds: baseline=3704.125845236359 candidate=1532.0460452822088
run_wall_time_seconds: baseline=5578.12773 candidate=1896.016839
request_throughput_per_second: baseline=0.09591031720602067 candidate=0.2858624400645421
input_token_throughput_per_second: baseline=4552.666455344865 candidate=14043.14532039871
output_token_throughput_per_second: baseline=24.094643669982794 candidate=72.84850912655845
requests: baseline=535.0 candidate=542.0
successful_requests: baseline=528.0 candidate=542.0
failed_requests: baseline=7.0 candidate=0.0
input_tokens: baseline=25395355.0 candidate=26626040.0
output_tokens: baseline=134403.0 candidate=138122.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=9533568.0 candidate=23905488.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.147253481868244 candidate=0.8105043037349267
vllm_prompt_token_hit_rate: baseline=0.37149751008331816 candidate=0.8978236343068665
latency_mean_seconds: baseline=151.12175617734945 candidate=38.615495305955136
latency_p50_seconds: baseline=140.1703536072746 candidate=15.51372567936778
latency_p95_seconds: baseline=422.44296679454845 candidate=104.6425645241739
latency_p99_seconds: baseline=605.8988567022135 candidate=536.0149604033129
ttft_mean_seconds: baseline=67.97296331671274 candidate=18.76908907396996
ttft_p50_seconds: baseline=77.49611306446604 candidate=1.1940621067769825
ttft_p95_seconds: baseline=138.78084879685193 candidate=44.82294156146236
ttft_p99_seconds: baseline=154.4842199663259 candidate=526.781450148253
vllm_queue_time_mean_seconds: baseline=56.995558232738404 candidate=14.751779073198941
vllm_prefill_time_mean_seconds: baseline=10.16885060333086 candidate=1.9455412913223804
vllm_decode_time_mean_seconds: baseline=83.18035359413956 candidate=21.425353907547013
vllm_inference_time_mean_seconds: baseline=93.34920419747041 candidate=23.37089519886939
baseline router.applicable: False
candidate router.applicable: False
