AgentCache Benchmark Comparison
completed_tasks: baseline=27.0 candidate=32.0
failed_tasks: baseline=5.0 candidate=0.0
tasks_with_patch: baseline=28.0 candidate=30.0
mean_task_duration_seconds: baseline=4494.20398801635 candidate=2884.2011169064936
p50_task_duration_seconds: baseline=4487.140550568467 candidate=2691.551963490434
p95_task_duration_seconds: baseline=7957.999345055199 candidate=4790.623381576128
p99_task_duration_seconds: baseline=8316.563289928414 candidate=5405.009427584201
run_wall_time_seconds: baseline=9752.090044 candidate=6706.773799
request_throughput_per_second: baseline=0.22907909893371775 candidate=0.3250445095263306
input_token_throughput_per_second: baseline=6966.278479124346 candidate=10523.854854106436
output_token_throughput_per_second: baseline=44.224571148760816 candidate=65.28116395774093
requests: baseline=2234.0 candidate=2180.0
successful_requests: baseline=2224.0 candidate=2148.0
failed_requests: baseline=10.0 candidate=32.0
input_tokens: baseline=67935775.0 candidate=70581114.0
output_tokens: baseline=431282.0 candidate=437826.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.3444429452978494 candidate=0.7333388131533396
vllm_prompt_token_hit_rate: baseline=0.5288455133424204 candidate=0.7333388131533396
latency_mean_seconds: baseline=63.69936893110004 candidate=56.62820590492701
latency_p50_seconds: baseline=37.62489274865948 candidate=24.237904720939696
latency_p95_seconds: baseline=202.72444816329494 candidate=182.6205019005095
latency_p99_seconds: baseline=352.0345178187314 candidate=781.7284513482685
ttft_mean_seconds: baseline=15.942244513800675 candidate=9.297106952416355
ttft_p50_seconds: baseline=6.479496292537078 candidate=2.2719189485069364
ttft_p95_seconds: baseline=62.76514995899049 candidate=37.99660606272514
ttft_p99_seconds: baseline=84.65406216848643 candidate=128.5522641999786
vllm_queue_time_mean_seconds: baseline=10.848929248827261 candidate=24.85443333706457
vllm_prefill_time_mean_seconds: baseline=4.409303024517566 candidate=2.644718620609197
vllm_decode_time_mean_seconds: baseline=47.35751853453451 candidate=25.375756191812304
vllm_inference_time_mean_seconds: baseline=51.766821559052076 candidate=28.0204748124215
baseline router.applicable: False
candidate router.applicable: False
