AgentCache Benchmark Comparison
completed_tasks: baseline=31.0 candidate=30.0
failed_tasks: baseline=1.0 candidate=2.0
tasks_with_patch: baseline=27.0 candidate=30.0
mean_task_duration_seconds: baseline=5700.696248028835 candidate=4735.354797823136
p50_task_duration_seconds: baseline=5213.295593823539 candidate=4549.287726002047
p95_task_duration_seconds: baseline=10917.59626425309 candidate=8075.376639339467
p99_task_duration_seconds: baseline=11262.98705350495 candidate=11527.49371622895
run_wall_time_seconds: baseline=12114.534722 candidate=15603.037359
request_throughput_per_second: baseline=0.16294476389714044 candidate=0.15176532270712742
input_token_throughput_per_second: baseline=5280.977806256024 candidate=6410.6620844757535
output_token_throughput_per_second: baseline=33.16371690861542 candidate=36.43630319657431
requests: baseline=1974.0 candidate=2368.0
successful_requests: baseline=1965.0 candidate=2349.0
failed_requests: baseline=9.0 candidate=19.0
input_tokens: baseline=63976589.0 candidate=100025800.0
output_tokens: baseline=401763.0 candidate=568517.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.20725477136292175 candidate=0.3588924433590343
vllm_prompt_token_hit_rate: baseline=0.3686238136291618 candidate=0.6230402521581638
latency_mean_seconds: baseline=91.75995883707164 candidate=63.428081240283554
latency_p50_seconds: baseline=67.70504174544476 candidate=38.39006472704932
latency_p95_seconds: baseline=289.30668551037087 candidate=202.72420847059692
latency_p99_seconds: baseline=456.9449781362106 candidate=355.3935110825297
ttft_mean_seconds: baseline=27.68270689704929 candidate=22.252204409897516
ttft_p50_seconds: baseline=21.143583334982395 candidate=7.013815230689943
ttft_p95_seconds: baseline=75.02777652340008 candidate=90.90087184449658
ttft_p99_seconds: baseline=89.52379330253227 candidate=138.05993168451803
vllm_queue_time_mean_seconds: baseline=20.597705510435933 candidate=16.231765167956965
vllm_prefill_time_mean_seconds: baseline=6.351175001819331 candidate=5.337656950627851
vllm_decode_time_mean_seconds: baseline=63.29474101017274 candidate=41.03937714998287
vllm_inference_time_mean_seconds: baseline=69.64591601199207 candidate=46.37703410061072
baseline router.applicable: False
candidate router.applicable: False
