AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260822_095918
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260822_095918
completed_tasks: baseline=32.0 candidate=32.0
failed_tasks: baseline=0.0 candidate=0.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2438.7323585157574 candidate=1528.9300948548334
p50_task_duration_seconds: baseline=2370.8739773959387 candidate=1527.0394745578524
p95_task_duration_seconds: baseline=3703.0097385831177 candidate=2760.9704282469347
p99_task_duration_seconds: baseline=3708.643248751443 candidate=3112.7582240001952
run_wall_time_seconds: baseline=5054.601059 candidate=3297.864124
request_throughput_per_second: baseline=0.10742687576364868 candidate=0.17556817935170937
input_token_throughput_per_second: baseline=4898.69422155716 candidate=8768.6478013307
output_token_throughput_per_second: baseline=25.491230365367596 candidate=46.2368958412551
requests: baseline=543.0 candidate=579.0
successful_requests: baseline=532.0 candidate=577.0
failed_requests: baseline=11.0 candidate=2.0
input_tokens: baseline=24760945.0 candidate=28917809.0
output_tokens: baseline=128848.0 candidate=152483.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=10246464.0 candidate=21444864.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.1567645297405794 candidate=0.43316476823829314
vllm_prompt_token_hit_rate: baseline=0.4111133603635927 candidate=0.7415798340738747
latency_mean_seconds: baseline=135.53857442924348 candidate=78.12439626903677
latency_p50_seconds: baseline=115.94905070820823 candidate=35.033729806076735
latency_p95_seconds: baseline=373.07687218962235 candidate=314.9710123659112
latency_p99_seconds: baseline=565.2223131487447 candidate=455.17408702350286
ttft_mean_seconds: baseline=59.260742123017906 candidate=42.41308525829682
ttft_p50_seconds: baseline=54.83714896859601 candidate=1.812284162035212
ttft_p95_seconds: baseline=136.0386076210998 candidate=230.01413921569474
ttft_p99_seconds: baseline=150.79372437398422 candidate=317.4970601256937
vllm_queue_time_mean_seconds: baseline=48.00830001711821 candidate=33.89022195456869
vllm_prefill_time_mean_seconds: baseline=9.253263481382344 candidate=4.607185757593889
vllm_decode_time_mean_seconds: baseline=78.50758939651209 candidate=39.3813106213112
vllm_inference_time_mean_seconds: baseline=87.76085287789444 candidate=43.98849637890509
baseline router.applicable: False
candidate router.applicable: False
