AgentCache Benchmark Comparison
completed_tasks: baseline=30.0 candidate=30.0
failed_tasks: baseline=2.0 candidate=2.0
tasks_with_patch: baseline=28.0 candidate=27.0
mean_task_duration_seconds: baseline=5176.614963509099 candidate=4349.395085540658
p50_task_duration_seconds: baseline=4841.8514473875985 candidate=4205.73109695618
p95_task_duration_seconds: baseline=8827.142866463377 candidate=7851.241793459933
p99_task_duration_seconds: baseline=10411.97571198737 candidate=8145.641063200362
run_wall_time_seconds: baseline=11460.323844 candidate=9408.729518
request_throughput_per_second: baseline=0.1909195612430723 candidate=0.21352510943762895
input_token_throughput_per_second: baseline=6020.538419263189 candidate=6589.617533524253
output_token_throughput_per_second: baseline=36.50813063359015 candidate=39.740115738759194
requests: baseline=2188.0 candidate=2009.0
successful_requests: baseline=2176.0 candidate=1998.0
failed_requests: baseline=12.0 candidate=11.0
input_tokens: baseline=68997320.0 candidate=61999929.0
output_tokens: baseline=418395.0 candidate=373904.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.27304793934057964 candidate=0.2954649439475001
vllm_prompt_token_hit_rate: baseline=0.47927835656421786 candidate=0.5131019138968723
latency_mean_seconds: baseline=74.8792955628724 candidate=68.94327205894844
latency_p50_seconds: baseline=49.97205245238729 candidate=47.2320077130571
latency_p95_seconds: baseline=236.29954484864163 candidate=196.8583576631732
latency_p99_seconds: baseline=382.439901621235 candidate=359.90171054486217
ttft_mean_seconds: baseline=21.648055620652762 candidate=22.51701206844453
ttft_p50_seconds: baseline=10.773784348508343 candidate=10.567538321716711
ttft_p95_seconds: baseline=74.24951680540107 candidate=77.39103522712828
ttft_p99_seconds: baseline=102.60363975742368 candidate=103.0841034166515
vllm_queue_time_mean_seconds: baseline=15.540446776822458 candidate=17.068304337328065
vllm_prefill_time_mean_seconds: baseline=5.2800761069738655 candidate=4.690138774208009
vllm_decode_time_mean_seconds: baseline=52.33544025993166 candidate=45.369240660639434
vllm_inference_time_mean_seconds: baseline=57.615516366905524 candidate=50.05937943484744
baseline router.applicable: False
candidate router.applicable: False
