AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260824_212612
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260824_212612
completed_tasks: baseline=31.0 candidate=32.0
failed_tasks: baseline=1.0 candidate=0.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2629.171371864213 candidate=2044.8081278386817
p50_task_duration_seconds: baseline=2711.3341448707506 candidate=2350.108172017848
p95_task_duration_seconds: baseline=3701.948344716127 candidate=3704.433162934729
p99_task_duration_seconds: baseline=3706.119030824737 candidate=3706.703360187891
run_wall_time_seconds: baseline=5979.70606 candidate=5047.110874
request_throughput_per_second: baseline=0.08227829178613505 candidate=0.11511536292832389
input_token_throughput_per_second: baseline=4003.220352272633 candidate=5320.398079291333
output_token_throughput_per_second: baseline=19.531896522686267 candidate=28.062589377544157
requests: baseline=492.0 candidate=581.0
successful_requests: baseline=482.0 candidate=576.0
failed_requests: baseline=10.0 candidate=5.0
input_tokens: baseline=23938081.0 candidate=26852639.0
output_tokens: baseline=116795.0 candidate=141635.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=8818224.0 candidate=15658672.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.24908549635182403 candidate=0.19133230524912426
vllm_prompt_token_hit_rate: baseline=0.36279334205337166 candidate=0.5812159743130899
latency_mean_seconds: baseline=163.69543415654596 candidate=106.07008865520457
latency_p50_seconds: baseline=138.6887686306145 candidate=52.447875185869634
latency_p95_seconds: baseline=425.7698842611396 candidate=329.17154387105256
latency_p99_seconds: baseline=626.4664129167234 candidate=476.6464941876942
ttft_mean_seconds: baseline=74.06584356773637 candidate=46.26685815700835
ttft_p50_seconds: baseline=67.71414287993684 candidate=12.567116256803274
ttft_p95_seconds: baseline=170.5173236547038 candidate=168.71936013717203
ttft_p99_seconds: baseline=193.78742643062958 candidate=201.25349531314333
vllm_queue_time_mean_seconds: baseline=62.55785084941378 candidate=39.019008758193294
vllm_prefill_time_mean_seconds: baseline=10.977877112717032 candidate=6.705895626206863
vllm_decode_time_mean_seconds: baseline=86.6352206852434 candidate=57.64686999177987
vllm_inference_time_mean_seconds: baseline=97.61309779796042 candidate=64.35276561798673
baseline router.applicable: False
candidate router.applicable: False
