AgentCache Benchmark Comparison
completed_tasks: baseline=31.0 candidate=27.0
failed_tasks: baseline=1.0 candidate=5.0
tasks_with_patch: baseline=27.0 candidate=30.0
mean_task_duration_seconds: baseline=4167.905354059265 candidate=3225.578035978833
p50_task_duration_seconds: baseline=3858.0034127015388 candidate=3206.9812540024286
p95_task_duration_seconds: baseline=7174.51170247012 candidate=5192.35824000336
p99_task_duration_seconds: baseline=7466.447818652943 candidate=5752.561247170885
run_wall_time_seconds: baseline=9056.060225 candidate=7199.186408
request_throughput_per_second: baseline=0.21808600549583912 candidate=0.3233698737697695
input_token_throughput_per_second: baseline=6683.09866501578 candidate=10043.747293395547
output_token_throughput_per_second: baseline=41.276668961198304 candidate=64.55229433753537
requests: baseline=1975.0 candidate=2328.0
successful_requests: baseline=1962.0 candidate=2302.0
failed_requests: baseline=13.0 candidate=26.0
input_tokens: baseline=60522544.0 candidate=72306809.0
output_tokens: baseline=373804.0 candidate=464724.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.40088510820250967 candidate=0.6983970505586268
vllm_prompt_token_hit_rate: baseline=0.5107902901576873 candidate=0.7006897262302325
latency_mean_seconds: baseline=66.79677248937054 candidate=46.20062407365165
latency_p50_seconds: baseline=43.234717519022524 candidate=26.9252759545343
latency_p95_seconds: baseline=199.6249651693273 candidate=153.94643576950776
latency_p99_seconds: baseline=363.8244064379716 candidate=294.93964017235675
ttft_mean_seconds: baseline=17.602854823159124 candidate=12.203643968923537
ttft_p50_seconds: baseline=7.876395743107423 candidate=2.8932533314218745
ttft_p95_seconds: baseline=65.39708275655283 candidate=48.21914064413874
ttft_p99_seconds: baseline=89.13543190592434 candidate=177.26516457708408
vllm_queue_time_mean_seconds: baseline=12.21775079034893 candidate=13.204208227104571
vllm_prefill_time_mean_seconds: baseline=4.649742637685938 candidate=2.7789032434196868
vllm_decode_time_mean_seconds: baseline=47.86220169218307 candidate=27.966428284773333
vllm_inference_time_mean_seconds: baseline=52.51194432986901 candidate=30.74533152819302
baseline router.applicable: False
candidate router.applicable: False
