AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260827_111641
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260827_111641
completed_tasks: baseline=32.0 candidate=32.0
failed_tasks: baseline=0.0 candidate=0.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2651.468092248164 candidate=806.9775687379006
p50_task_duration_seconds: baseline=2587.4377254864667 candidate=683.9984070372302
p95_task_duration_seconds: baseline=3703.629772091168 candidate=1627.3697193420958
p99_task_duration_seconds: baseline=3706.191429769597 candidate=1663.0407720317412
run_wall_time_seconds: baseline=6057.128931 candidate=2327.520024
request_throughput_per_second: baseline=0.09212285331160636 candidate=0.25477761475103855
input_token_throughput_per_second: baseline=4453.7293670495255 candidate=12168.663946153874
output_token_throughput_per_second: baseline=20.059668761242683 candidate=64.02651683481285
requests: baseline=558.0 candidate=593.0
successful_requests: baseline=536.0 candidate=591.0
failed_requests: baseline=22.0 candidate=2.0
input_tokens: baseline=26976813.0 candidate=28322809.0
output_tokens: baseline=121504.0 candidate=149023.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=11072304.0 candidate=26053280.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.19332460634987797 candidate=0.9337467907331981
vllm_prompt_token_hit_rate: baseline=0.4069471822640687 candidate=0.9200659862803332
latency_mean_seconds: baseline=145.63369502085445 candidate=36.18338915332995
latency_p50_seconds: baseline=118.44649029197171 candidate=13.899018935859203
latency_p95_seconds: baseline=398.3361428850794 candidate=96.60240514250442
latency_p99_seconds: baseline=598.9184391621519 candidate=393.3100233002012
ttft_mean_seconds: baseline=64.85565569657041 candidate=12.220821814402996
ttft_p50_seconds: baseline=53.01272928947583 candidate=1.102294784039259
ttft_p95_seconds: baseline=145.10280892425217 candidate=38.27865168012206
ttft_p99_seconds: baseline=158.4871720805997 candidate=336.45332597079636
vllm_queue_time_mean_seconds: baseline=53.333017555284385 candidate=12.440149399421182
vllm_prefill_time_mean_seconds: baseline=10.238940144536336 candidate=1.4369325061713214
vllm_decode_time_mean_seconds: baseline=81.69753835221002 candidate=17.892408939009112
vllm_inference_time_mean_seconds: baseline=91.93647849674636 candidate=19.329341445180436
baseline router.applicable: False
candidate router.applicable: False
