AgentCache Benchmark Comparison
completed_tasks: baseline=32.0 candidate=30.0
failed_tasks: baseline=0.0 candidate=2.0
tasks_with_patch: baseline=27.0 candidate=32.0
mean_task_duration_seconds: baseline=4671.982017023678 candidate=3206.566813894591
p50_task_duration_seconds: baseline=4521.863854946569 candidate=2899.7286844167393
p95_task_duration_seconds: baseline=7639.203155007772 candidate=5857.547276411018
p99_task_duration_seconds: baseline=8165.136314163977 candidate=9063.471468759528
run_wall_time_seconds: baseline=10208.662438 candidate=10253.232627
request_throughput_per_second: baseline=0.21285844381643762 candidate=0.28810426013559715
input_token_throughput_per_second: baseline=6477.884874892168 candidate=16876.769531623348
output_token_throughput_per_second: baseline=40.140714073829386 candidate=57.20966463350681
requests: baseline=2173.0 candidate=2954.0
successful_requests: baseline=2164.0 candidate=2911.0
failed_requests: baseline=9.0 candidate=43.0
input_tokens: baseline=66130540.0 candidate=173041444.0
output_tokens: baseline=409783.0 candidate=586584.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.3345500995820205 candidate=0.8816705905540277
vllm_prompt_token_hit_rate: baseline=0.4971699899466738 candidate=0.8856197769125314
latency_mean_seconds: baseline=68.15234840445493 candidate=43.73225228840245
latency_p50_seconds: baseline=41.02428107196465 candidate=18.73897583875805
latency_p95_seconds: baseline=226.77805669493983 candidate=134.48424328868276
latency_p99_seconds: baseline=364.47361841721613 candidate=497.14605102687153
ttft_mean_seconds: baseline=18.831600724698248 candidate=8.100424758481509
ttft_p50_seconds: baseline=7.952754206955433 candidate=1.826318075414747
ttft_p95_seconds: baseline=66.73628612365574 candidate=31.47751591501286
ttft_p99_seconds: baseline=96.44489750036985 candidate=100.65792905292138
vllm_queue_time_mean_seconds: baseline=13.309500620493194 candidate=17.771125172999437
vllm_prefill_time_mean_seconds: baseline=4.763669536863677 candidate=2.1221021453213944
vllm_decode_time_mean_seconds: baseline=48.34115002395146 candidate=21.08028978811515
vllm_inference_time_mean_seconds: baseline=53.10481956081513 candidate=23.202391933436544
baseline router.applicable: False
candidate router.applicable: False
