AgentCache Benchmark Comparison
completed_tasks: baseline=31.0 candidate=30.0
failed_tasks: baseline=1.0 candidate=2.0
tasks_with_patch: baseline=26.0 candidate=29.0
mean_task_duration_seconds: baseline=3724.100477814296 candidate=4248.925524127888
p50_task_duration_seconds: baseline=3809.2190466835164 candidate=4272.484181962442
p95_task_duration_seconds: baseline=5793.558553765713 candidate=7265.553703551064
p99_task_duration_seconds: baseline=6209.70037391217 candidate=7358.702538091624
run_wall_time_seconds: baseline=8294.111952 candidate=9273.37726
request_throughput_per_second: baseline=0.2523476910020855 candidate=0.2352972319385613
input_token_throughput_per_second: baseline=7509.654723792424 candidate=7218.287375057143
output_token_throughput_per_second: baseline=47.396514813765805 candidate=45.46585221099913
requests: baseline=2093.0 candidate=2182.0
successful_requests: baseline=2081.0 candidate=2176.0
failed_requests: baseline=12.0 candidate=6.0
input_tokens: baseline=62285917.0 candidate=66937902.0
output_tokens: baseline=393112.0 candidate=421622.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.4241472682544307 candidate=0.29192303453680457
vllm_prompt_token_hit_rate: baseline=0.5698270042516552 candidate=0.5557561392863914
latency_mean_seconds: baseline=56.37816161554368 candidate=61.84797494650364
latency_p50_seconds: baseline=33.61531225312501 candidate=43.01567427278496
latency_p95_seconds: baseline=175.32222965508686 candidate=188.5980567373801
latency_p99_seconds: baseline=336.138835135959 candidate=328.6007117923118
ttft_mean_seconds: baseline=14.532818980888067 candidate=18.556854484887975
ttft_p50_seconds: baseline=5.54422290623188 candidate=8.333445431664586
ttft_p95_seconds: baseline=64.78093176628461 candidate=64.19119504569099
ttft_p99_seconds: baseline=87.00929885250522 candidate=84.80875163260383
vllm_queue_time_mean_seconds: baseline=9.89995345491661 candidate=13.680520021504943
vllm_prefill_time_mean_seconds: baseline=3.9178825904485883 candidate=4.238346212692276
vllm_decode_time_mean_seconds: baseline=40.57195436638896 candidate=43.00031113837202
vllm_inference_time_mean_seconds: baseline=44.48983695683755 candidate=47.2386573510643
baseline router.applicable: False
candidate router.applicable: False
