AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260823_220620
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260823_220620
completed_tasks: baseline=32.0 candidate=32.0
failed_tasks: baseline=0.0 candidate=0.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=2489.089611966716 candidate=2151.7199071701034
p50_task_duration_seconds: baseline=2457.217781809857 candidate=2259.293421694776
p95_task_duration_seconds: baseline=3705.5481717454736 candidate=3704.7755581854844
p99_task_duration_seconds: baseline=3708.778477383279 candidate=3706.7190605317287
run_wall_time_seconds: baseline=5372.10073 candidate=6542.8148
request_throughput_per_second: baseline=0.09493492874248469 candidate=0.09048093490281889
input_token_throughput_per_second: baseline=4590.584622191178 candidate=4183.185805595475
output_token_throughput_per_second: baseline=22.736356993067776 candidate=22.512940454924692
requests: baseline=510.0 candidate=592.0
successful_requests: baseline=498.0 candidate=581.0
failed_requests: baseline=12.0 candidate=11.0
input_tokens: baseline=24661083.0 candidate=27369810.0
output_tokens: baseline=122142.0 candidate=147298.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=10033952.0 candidate=16144304.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.24072459428848977 candidate=0.28561795182398897
vllm_prompt_token_hit_rate: baseline=0.40044324814599275 candidate=0.5888099632203861
latency_mean_seconds: baseline=147.49648357926702 candidate=110.1446389420614
latency_p50_seconds: baseline=126.17015585140325 candidate=48.98136763763614
latency_p95_seconds: baseline=453.31427061674145 candidate=354.09086403059763
latency_p99_seconds: baseline=546.4311904614558 candidate=594.0135164279926
ttft_mean_seconds: baseline=71.30051433482961 candidate=44.90153089528086
ttft_p50_seconds: baseline=64.82823925511912 candidate=10.343440087046474
ttft_p95_seconds: baseline=159.63191896704956 candidate=194.11820886610076
ttft_p99_seconds: baseline=178.60593892109114 candidate=247.04149237275124
vllm_queue_time_mean_seconds: baseline=57.33582953393205 candidate=38.20257229261058
vllm_prefill_time_mean_seconds: baseline=10.101123458557167 candidate=6.617098051228315
vllm_decode_time_mean_seconds: baseline=77.62780530049828 candidate=57.98475059134911
vllm_inference_time_mean_seconds: baseline=87.72892875905545 candidate=64.60184864257742
baseline router.applicable: False
candidate router.applicable: False
