AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260825_195231
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260825_195231
completed_tasks: baseline=32.0 candidate=30.0
failed_tasks: baseline=0.0 candidate=2.0
tasks_with_patch: baseline=32.0 candidate=31.0
mean_task_duration_seconds: baseline=2469.4910792284936 candidate=832.4407190948696
p50_task_duration_seconds: baseline=2518.193443860626 candidate=739.577834355412
p95_task_duration_seconds: baseline=3703.666623140988 candidate=1755.2931168324778
p99_task_duration_seconds: baseline=3707.994940442103 candidate=1848.3434821632925
run_wall_time_seconds: baseline=6941.603186 candidate=2513.603601
request_throughput_per_second: baseline=0.07548688479583741 candidate=0.26416257509172786
input_token_throughput_per_second: baseline=3420.5624210683595 candidate=12852.095687302448
output_token_throughput_per_second: baseline=17.843716599907644 candidate=66.77902591053775
requests: baseline=524.0 candidate=664.0
successful_requests: baseline=513.0 candidate=657.0
failed_requests: baseline=11.0 candidate=7.0
input_tokens: baseline=23744187.0 candidate=32305074.0
output_tokens: baseline=123864.0 candidate=167856.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=9200576.0 candidate=29790592.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.20875866930147252 candidate=0.9157026381783425
vllm_prompt_token_hit_rate: baseline=0.38547857834589094 candidate=0.9222634274531465
latency_mean_seconds: baseline=143.04142774732247 candidate=34.47797579335887
latency_p50_seconds: baseline=122.49548884644173 candidate=13.927562478929758
latency_p95_seconds: baseline=407.4052431249292 candidate=105.96995055407761
latency_p99_seconds: baseline=633.8995421346269 candidate=355.6840091486369
ttft_mean_seconds: baseline=56.25355766170105 candidate=15.353183305345842
ttft_p50_seconds: baseline=52.35828746994957 candidate=1.1724100443534553
ttft_p95_seconds: baseline=125.33737805029375 candidate=47.21287713842458
ttft_p99_seconds: baseline=136.8128240379365 candidate=337.046637587752
vllm_queue_time_mean_seconds: baseline=46.90999060152752 candidate=12.037821908605453
vllm_prefill_time_mean_seconds: baseline=9.517652582981738 candidate=1.4699623698568542
vllm_decode_time_mean_seconds: baseline=81.2500146445673 candidate=17.193031578179436
vllm_inference_time_mean_seconds: baseline=90.76766722754904 candidate=18.66299394803629
baseline router.applicable: False
candidate router.applicable: False
