AgentCache Benchmark Comparison
completed_tasks: baseline=28.0 candidate=30.0
failed_tasks: baseline=4.0 candidate=2.0
tasks_with_patch: baseline=30.0 candidate=32.0
mean_task_duration_seconds: baseline=5021.964795560823 candidate=2883.1959624635347
p50_task_duration_seconds: baseline=4717.15425642347 candidate=2688.961067673983
p95_task_duration_seconds: baseline=8077.751638620044 candidate=4514.207163604605
p99_task_duration_seconds: baseline=12499.529974107183 candidate=5433.499577697913
run_wall_time_seconds: baseline=16528.759435 candidate=6627.459445
request_throughput_per_second: baseline=0.1455039629233977 candidate=0.3358753106636324
input_token_throughput_per_second: baseline=6712.922372446641 candidate=10275.906561960108
output_token_throughput_per_second: baseline=31.05695875233119 candidate=65.61473572321498
requests: baseline=2405.0 candidate=2226.0
successful_requests: baseline=2392.0 candidate=2200.0
failed_requests: baseline=13.0 candidate=26.0
input_tokens: baseline=110956279.0 candidate=68103154.0
output_tokens: baseline=513333.0 candidate=434859.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.3409095841580941 candidate=0.7075448704179549
vllm_prompt_token_hit_rate: baseline=0.6078443618601411 candidate=0.7088705446954288
latency_mean_seconds: baseline=66.3919852835194 candidate=49.1579073149954
latency_p50_seconds: baseline=35.9956139200367 candidate=23.888121396768838
latency_p95_seconds: baseline=219.2313569531772 candidate=144.2159509920748
latency_p99_seconds: baseline=409.83475270198664 candidate=454.31600192037877
ttft_mean_seconds: baseline=20.762060882045752 candidate=10.11604775967618
ttft_p50_seconds: baseline=6.680328348418698 candidate=2.7487372683826834
ttft_p95_seconds: baseline=74.85474342631642 candidate=37.60511157598811
ttft_p99_seconds: baseline=103.65818285371644 candidate=131.8095582900412
vllm_queue_time_mean_seconds: baseline=13.98283556633104 candidate=18.159795918732204
vllm_prefill_time_mean_seconds: baseline=6.02384286769549 candidate=2.632286186108831
vllm_decode_time_mean_seconds: baseline=44.67629425711408 candidate=25.55343920305329
vllm_inference_time_mean_seconds: baseline=50.70013712480957 candidate=28.18572538916212
baseline router.applicable: False
candidate router.applicable: False
