AgentCache Benchmark Comparison
completed_tasks: baseline=31.0 candidate=30.0
failed_tasks: baseline=1.0 candidate=2.0
tasks_with_patch: baseline=28.0 candidate=29.0
mean_task_duration_seconds: baseline=4481.222702784609 candidate=3176.410485937733
p50_task_duration_seconds: baseline=4437.090775865596 candidate=3059.8097753304755
p95_task_duration_seconds: baseline=7489.374296449183 candidate=4909.248511693743
p99_task_duration_seconds: baseline=8221.153003337417 candidate=4986.740418059659
run_wall_time_seconds: baseline=9535.33219 candidate=7201.62281
request_throughput_per_second: baseline=0.2262113114697895 candidate=0.31423473010245034
input_token_throughput_per_second: baseline=6787.63211499609 candidate=9826.422303280835
output_token_throughput_per_second: baseline=44.075758623360564 candidate=62.88485414303447
requests: baseline=2157.0 candidate=2263.0
successful_requests: baseline=2150.0 candidate=2235.0
failed_requests: baseline=7.0 candidate=28.0
input_tokens: baseline=64722327.0 candidate=70766187.0
output_tokens: baseline=420277.0 candidate=452873.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.2527344486951393 candidate=0.6984971448392374
vllm_prompt_token_hit_rate: baseline=0.5190391426241144 candidate=0.6993146807750019
latency_mean_seconds: baseline=65.73185705949518 candidate=54.54551264288404
latency_p50_seconds: baseline=38.027983931824565 candidate=24.66462895204313
latency_p95_seconds: baseline=217.36115902378157 candidate=150.00079657507598
latency_p99_seconds: baseline=376.00538822060463 candidate=436.66753164285166
ttft_mean_seconds: baseline=16.969232045421926 candidate=10.993696542148221
ttft_p50_seconds: baseline=6.525614601559937 candidate=2.90255180420354
ttft_p95_seconds: baseline=65.54807573836297 candidate=46.981726106000046
ttft_p99_seconds: baseline=81.57878980607488 candidate=128.02323676303467
vllm_queue_time_mean_seconds: baseline=11.746153296237855 candidate=20.75281986954926
vllm_prefill_time_mean_seconds: baseline=4.462872298903612 candidate=2.8400520949907833
vllm_decode_time_mean_seconds: baseline=48.150139068775204 candidate=28.110892096182468
vllm_inference_time_mean_seconds: baseline=52.613011367678816 candidate=30.950944191173253
baseline router.applicable: False
candidate router.applicable: False
