AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260813_092928
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260813_092928
completed_tasks: baseline=14.0 candidate=28.0
failed_tasks: baseline=18.0 candidate=4.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1315.0904381574364 candidate=779.9792769900887
p50_task_duration_seconds: baseline=1316.6450496094767 candidate=689.9197789974278
p95_task_duration_seconds: baseline=2057.897126369446 candidate=1559.4716074663795
p99_task_duration_seconds: baseline=2324.399314873461 candidate=1751.6818070582
run_wall_time_seconds: baseline=2916.388623 candidate=1826.493249
request_throughput_per_second: baseline=0.15807221176366523 candidate=0.29072103074606
input_token_throughput_per_second: baseline=6184.394582312839 candidate=13974.340181095298
output_token_throughput_per_second: baseline=24.4401584335765 candidate=65.94768421177997
requests: baseline=461.0 candidate=531.0
successful_requests: baseline=399.0 candidate=502.0
failed_requests: baseline=62.0 candidate=29.0
input_tokens: baseline=18036098.0 candidate=25524038.0
output_tokens: baseline=71277.0 candidate=120453.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=12165152.0 candidate=22791552.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.498301943833321 candidate=0.8939641308225614
vllm_prompt_token_hit_rate: baseline=0.6094082194281105 candidate=0.8939641308225614
latency_mean_seconds: baseline=81.68385525678998 candidate=39.046532687625856
latency_p50_seconds: baseline=54.47563211014494 candidate=19.294865967007354
latency_p95_seconds: baseline=237.60263077891432 candidate=143.8726945980452
latency_p99_seconds: baseline=300.9104643907862 candidate=299.99161873431876
ttft_mean_seconds: baseline=41.790658166007255 candidate=14.742965738265514
ttft_p50_seconds: baseline=23.464790122001432 candidate=1.372202186845243
ttft_p95_seconds: baseline=127.7369543868117 candidate=80.69121588831761
ttft_p99_seconds: baseline=152.72952418541536 candidate=218.66085520943628
vllm_queue_time_mean_seconds: baseline=23.338213100832746 candidate=11.353925641298673
vllm_prefill_time_mean_seconds: baseline=4.993392182285909 candidate=2.054982693062583
vllm_decode_time_mean_seconds: baseline=34.23104529492125 candidate=19.009504422393768
vllm_inference_time_mean_seconds: baseline=39.22443747720716 candidate=21.06448711545635
baseline router.applicable: False
candidate router.applicable: False
