AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260808_224403
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260808_224403
completed_tasks: baseline=12.0 candidate=28.0
failed_tasks: baseline=20.0 candidate=4.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1345.474072500605 candidate=835.8031625348449
p50_task_duration_seconds: baseline=1271.0025525204837 candidate=787.2402152171126
p95_task_duration_seconds: baseline=2140.416091622214 candidate=1435.7821617032284
p99_task_duration_seconds: baseline=2483.802106133423 candidate=1665.6523902948902
run_wall_time_seconds: baseline=3001.916756 candidate=1889.209194
request_throughput_per_second: baseline=0.13191571658624635 candidate=0.2980082892821238
input_token_throughput_per_second: baseline=5210.224090571018 candidate=13839.804021195125
output_token_throughput_per_second: baseline=20.194097614077876 candidate=72.38160836517716
requests: baseline=396.0 candidate=563.0
successful_requests: baseline=333.0 candidate=539.0
failed_requests: baseline=63.0 candidate=24.0
input_tokens: baseline=15640659.0 candidate=26146285.0
output_tokens: baseline=60621.0 candidate=136744.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=9669344.0 candidate=23232832.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.5871264421700767 candidate=0.8688482017470586
vllm_prompt_token_hit_rate: baseline=0.5504856410577471 candidate=0.8898519004000847
latency_mean_seconds: baseline=99.74480608822084 candidate=40.46942880687256
latency_p50_seconds: baseline=78.282607251429 candidate=21.07545557199046
latency_p95_seconds: baseline=244.42244918382494 candidate=145.23452699680325
latency_p99_seconds: baseline=315.301450249844 candidate=299.9884182793973
ttft_mean_seconds: baseline=49.06276622733719 candidate=13.866291847078578
ttft_p50_seconds: baseline=27.779374685138464 candidate=1.2499970629578456
ttft_p95_seconds: baseline=130.7602212385973 candidate=78.06991796151269
ttft_p99_seconds: baseline=146.944148207549 candidate=205.8256832919386
vllm_queue_time_mean_seconds: baseline=33.39996145280461 candidate=11.946755053686731
vllm_prefill_time_mean_seconds: baseline=6.107859846775758 candidate=2.009416001467017
vllm_decode_time_mean_seconds: baseline=39.47843355326997 candidate=20.88225427176544
vllm_inference_time_mean_seconds: baseline=45.58629340004573 candidate=22.89167027323246
baseline router.applicable: False
candidate router.applicable: False
