AgentCache Benchmark Comparison
completed_tasks: baseline=32.0 candidate=28.0
failed_tasks: baseline=0.0 candidate=4.0
tasks_with_patch: baseline=29.0 candidate=32.0
mean_task_duration_seconds: baseline=5001.66231623917 candidate=3444.6047125529003
p50_task_duration_seconds: baseline=4827.9630835269345 candidate=3360.215458755032
p95_task_duration_seconds: baseline=8412.248011896829 candidate=5631.946992953331
p99_task_duration_seconds: baseline=8855.117092116068 candidate=6261.284027018753
run_wall_time_seconds: baseline=10981.757533 candidate=7653.746428
request_throughput_per_second: baseline=0.20370145609915827 candidate=0.31736091897608393
input_token_throughput_per_second: baseline=6308.716686906659 candidate=9845.462050366217
output_token_throughput_per_second: baseline=40.470389067002905 candidate=64.43302043504805
requests: baseline=2237.0 candidate=2429.0
successful_requests: baseline=2227.0 candidate=2401.0
failed_requests: baseline=10.0 candidate=28.0
input_tokens: baseline=69280797.0 candidate=75354670.0
output_tokens: baseline=444436.0 candidate=493154.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.23020316830201762 candidate=0.6954417824905811
vllm_prompt_token_hit_rate: baseline=0.4842428910318868 candidate=0.6979656672232577
latency_mean_seconds: baseline=70.94644694732544 candidate=47.05784445143471
latency_p50_seconds: baseline=40.57334297080524 candidate=26.1484381291084
latency_p95_seconds: baseline=242.4370440059339 candidate=160.98724672291416
latency_p99_seconds: baseline=392.7805391955372 candidate=297.0005569145918
ttft_mean_seconds: baseline=20.293905274402228 candidate=13.322756777265347
ttft_p50_seconds: baseline=7.562781324842945 candidate=2.856394420610741
ttft_p95_seconds: baseline=71.72180921728722 candidate=57.684886458155205
ttft_p99_seconds: baseline=90.34123898634671 candidate=173.5773951308591
vllm_queue_time_mean_seconds: baseline=14.62403360660262 candidate=13.77107871221964
vllm_prefill_time_mean_seconds: baseline=4.8911649277040645 candidate=2.8094798041880362
vllm_decode_time_mean_seconds: baseline=49.613255053039744 candidate=27.833462351831784
vllm_inference_time_mean_seconds: baseline=54.504419980743805 candidate=30.64294215601982
baseline router.applicable: False
candidate router.applicable: False
