AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260817_093745
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260817_093745
completed_tasks: baseline=10.0 candidate=28.0
failed_tasks: baseline=22.0 candidate=4.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1319.748110913948 candidate=786.0798856283945
p50_task_duration_seconds: baseline=1250.0196653730236 candidate=725.2993207694963
p95_task_duration_seconds: baseline=2088.4077723649093 candidate=1257.9636774088021
p99_task_duration_seconds: baseline=2525.6794319298306 candidate=1571.7468897109156
run_wall_time_seconds: baseline=2950.781459 candidate=1806.898689
request_throughput_per_second: baseline=0.13860735052151485 candidate=0.29664087049431687
input_token_throughput_per_second: baseline=5077.15810478122 candidate=14263.991200449644
output_token_throughput_per_second: baseline=20.617589220117168 candidate=65.96496014171385
requests: baseline=409.0 candidate=536.0
successful_requests: baseline=340.0 candidate=516.0
failed_requests: baseline=69.0 candidate=20.0
input_tokens: baseline=14981584.0 candidate=25773587.0
output_tokens: baseline=60838.0 candidate=119192.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=9471808.0 candidate=22873616.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.5489987905827203 candidate=0.8838048294355397
vllm_prompt_token_hit_rate: baseline=0.5630418662249908 candidate=0.8878884482318704
latency_mean_seconds: baseline=93.73862165618748 candidate=39.28780751834613
latency_p50_seconds: baseline=74.07868280401453 candidate=20.889751799870282
latency_p95_seconds: baseline=233.3335657779123 candidate=142.66671104065608
latency_p99_seconds: baseline=308.84366052078093 candidate=299.9916116249748
ttft_mean_seconds: baseline=46.63372549450686 candidate=14.203818895762499
ttft_p50_seconds: baseline=31.44988790526986 candidate=1.234183643013239
ttft_p95_seconds: baseline=129.5022141309455 candidate=84.07119008945277
ttft_p99_seconds: baseline=148.87255952032294 candidate=209.53375562392128
vllm_queue_time_mean_seconds: baseline=29.459780049955416 candidate=11.350828927483178
vllm_prefill_time_mean_seconds: baseline=5.628882909100502 candidate=2.1127928236450697
vllm_decode_time_mean_seconds: baseline=39.04873718923807 candidate=20.23397020771179
vllm_inference_time_mean_seconds: baseline=44.67762009833857 candidate=22.34676303135686
baseline router.applicable: False
candidate router.applicable: False
