AgentCache Benchmark Comparison
completed_tasks: baseline=27.0 candidate=31.0
failed_tasks: baseline=5.0 candidate=1.0
tasks_with_patch: baseline=27.0 candidate=31.0
mean_task_duration_seconds: baseline=5155.665902004999 candidate=3240.90818297604
p50_task_duration_seconds: baseline=5016.622664260911 candidate=2835.069311213447
p95_task_duration_seconds: baseline=8765.489600030054 candidate=5447.344410378113
p99_task_duration_seconds: baseline=8964.797893520985 candidate=10361.660933856554
run_wall_time_seconds: baseline=10909.621898 candidate=14723.862051
request_throughput_per_second: baseline=0.18845749368975978 candidate=0.17563326734811174
input_token_throughput_per_second: baseline=5821.732741410907 candidate=8580.373787964118
output_token_throughput_per_second: baseline=37.37929726737446 candidate=37.847339106396525
requests: baseline=2056.0 candidate=2586.0
successful_requests: baseline=2042.0 candidate=2552.0
failed_requests: baseline=14.0 candidate=34.0
input_tokens: baseline=63512903.0 candidate=126336240.0
output_tokens: baseline=407794.0 candidate=557259.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.26514218047490073 candidate=0.7525834412824973
vllm_prompt_token_hit_rate: baseline=0.44928501782201596 candidate=0.7525834412824973
latency_mean_seconds: baseline=80.21394139116065 candidate=42.13423410878601
latency_p50_seconds: baseline=49.76746045984328 candidate=23.5027898484841
latency_p95_seconds: baseline=264.00577661779243 candidate=134.12966570351273
latency_p99_seconds: baseline=438.00015173957246 candidate=278.2842012989103
ttft_mean_seconds: baseline=24.8217659855824 candidate=12.099414128611153
ttft_p50_seconds: baseline=10.853152906056494 candidate=1.9881625571288168
ttft_p95_seconds: baseline=90.90962104192 candidate=54.57694374385744
ttft_p99_seconds: baseline=116.01108084654432 candidate=160.42831976775528
vllm_queue_time_mean_seconds: baseline=18.673711153693876 candidate=10.744108510419156
vllm_prefill_time_mean_seconds: baseline=5.433536716210988 candidate=4.379034255708635
vllm_decode_time_mean_seconds: baseline=54.29269378520954 candidate=24.734618661611897
vllm_inference_time_mean_seconds: baseline=59.72623050142053 candidate=29.113652917320533
baseline router.applicable: False
candidate router.applicable: False
