AgentCache Benchmark Comparison
completed_tasks: baseline=29.0 candidate=29.0
failed_tasks: baseline=3.0 candidate=3.0
tasks_with_patch: baseline=26.0 candidate=30.0
mean_task_duration_seconds: baseline=4520.335859457911 candidate=3482.7732972541053
p50_task_duration_seconds: baseline=4270.684064270579 candidate=2966.9454809259623
p95_task_duration_seconds: baseline=8217.456408682256 candidate=5358.054947534879
p99_task_duration_seconds: baseline=8888.343279772545 candidate=11656.338297144253
run_wall_time_seconds: baseline=9782.606566 candidate=14436.82535
request_throughput_per_second: baseline=0.19851559877196026 candidate=0.17309899783472826
input_token_throughput_per_second: baseline=6233.632170381204 candidate=8423.531701171409
output_token_throughput_per_second: baseline=37.59090151678906 candidate=40.01980947978982
requests: baseline=1942.0 candidate=2499.0
successful_requests: baseline=1928.0 candidate=2472.0
failed_requests: baseline=14.0 candidate=27.0
input_tokens: baseline=60981171.0 candidate=121609056.0
output_tokens: baseline=367737.0 candidate=577759.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.33515640383315254 candidate=0.7090887217189845
vllm_prompt_token_hit_rate: baseline=0.47934480955056563 candidate=0.7471881693415469
latency_mean_seconds: baseline=73.841878654644 candidate=49.07466679079156
latency_p50_seconds: baseline=46.03171972185373 candidate=25.20349873811938
latency_p95_seconds: baseline=231.65435324700064 candidate=158.43204541762813
latency_p99_seconds: baseline=388.40806755777896 candidate=318.424261124744
ttft_mean_seconds: baseline=21.11898736633941 candidate=12.880617404153424
ttft_p50_seconds: baseline=10.113738764077425 candidate=2.0840530624845996
ttft_p95_seconds: baseline=73.19043726162052 candidate=58.70946335972985
ttft_p99_seconds: baseline=91.5812707825214 candidate=146.09300010284642
vllm_queue_time_mean_seconds: baseline=15.168515689066863 candidate=14.920358286380111
vllm_prefill_time_mean_seconds: baseline=5.140782339399254 candidate=4.429268278109029
vllm_decode_time_mean_seconds: baseline=51.69171024599251 candidate=27.13022683386442
vllm_inference_time_mean_seconds: baseline=56.83249258539177 candidate=31.559495111973447
baseline router.applicable: False
candidate router.applicable: False
