AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260809_111951
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260809_111951
completed_tasks: baseline=10.0 candidate=27.0
failed_tasks: baseline=22.0 candidate=5.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1300.592989853627 candidate=756.3480759160593
p50_task_duration_seconds: baseline=1324.0487326160073 candidate=722.8696219130652
p95_task_duration_seconds: baseline=1977.099423556728 candidate=1332.0280635400327
p99_task_duration_seconds: baseline=2242.793444009221 candidate=1426.4054199380826
run_wall_time_seconds: baseline=2865.580254 candidate=1700.169559
request_throughput_per_second: baseline=0.12772282314868297 candidate=0.3146744965335543
input_token_throughput_per_second: baseline=4435.927760967884 candidate=15053.927924138301
output_token_throughput_per_second: baseline=16.795900213513963 candidate=69.30367584589838
requests: baseline=366.0 candidate=535.0
successful_requests: baseline=292.0 candidate=510.0
failed_requests: baseline=74.0 candidate=25.0
input_tokens: baseline=12711507.0 candidate=25594230.0
output_tokens: baseline=48130.0 candidate=117828.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=6965952.0 candidate=23058336.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.5481739568949808 candidate=0.8964590377680624
vllm_prompt_token_hit_rate: baseline=0.49461650233899696 candidate=0.8990909960031988
latency_mean_seconds: baseline=103.80753505919346 candidate=37.63267414852907
latency_p50_seconds: baseline=93.91896945238113 candidate=16.578044055961072
latency_p95_seconds: baseline=243.70822250517085 candidate=142.414546107547
latency_p99_seconds: baseline=303.1816933194059 candidate=299.992319524521
ttft_mean_seconds: baseline=47.19927889256329 candidate=14.857787368109292
ttft_p50_seconds: baseline=37.97833415842615 candidate=1.21840896748472
ttft_p95_seconds: baseline=118.48550607211658 candidate=95.66595811861329
ttft_p99_seconds: baseline=130.38237461769484 candidate=230.21137738204098
vllm_queue_time_mean_seconds: baseline=31.98635481385361 candidate=10.802126426977908
vllm_prefill_time_mean_seconds: baseline=6.779783279013865 candidate=1.8523152800998195
vllm_decode_time_mean_seconds: baseline=42.9405771452066 candidate=17.66353179185432
vllm_inference_time_mean_seconds: baseline=49.720360424220466 candidate=19.51584707195414
baseline router.applicable: False
candidate router.applicable: False
